Month,On time %,Delays >30d,Went live,Target %
May/22,71%,5,17,80%
 Jun/22,58%,11,26,80%
 Jul/22,70%,6,20,80%
Aug/22,50%,6,12,80%
Sep/22,33%,12,18,80%
Oct/22,46%,7,13,80%
 Nov/22,15%,11,13,80%
Dec/22,30%,16,23,80%
Jan/23,71%,5,17,80%
Feb/23,26%,14,19,80%
Mar/23,39%,11,18,80%
Apr/23,46%,7,13,80%
May/23,25%,12,16,80%
Jun/23,37%,12,19,80%
Jul/23,24%,13,17,80%
Aug/23,46%,7,13,80%
Sep/23,27%,11,15,80%
Oct/23,39%,11,18,80%
Nov/23,36%,16,25,80%
Dec/23,35%,17,26,80%
Jan/24,39%,11,18,80%
Feb/24,14%,12,14,80%
Mar/24,38%,15,24,80%
Apr/24,14%,12,14,80%
May/24,19%,13,16,80%
Jun/24,46%,13,24,80%
Jul/24,32%,17,25,80%
Aug/24,33%,16,24,80%
Sep/24,42%,11,19,80%
Oct/24,53%,15,32,80%
Nov/24,58%,11,26,80%
Dec/24,69%,10,32,80%
Jan/25,50%,16,32,80%
Feb/25,47%,17,32,80%
Mar/25,48%,13,25,80%
Apr/25,56%,11,25,80%
May/25,43%,12,21,80%
